,Rasmussen Jacob,Duursma Iwan Maynard,Thorner Jesse,Balogh József,Cooney Daniel B,Feng Runhuan,Hirani Anil N,Mineyev Igor,La Nave Gabriele,Guzman Rosemary K,Junge Marius,Stojanoska Vesna,Reznick Bruce,Hur Vera Mikyoung,Berwick-Evans Daniel,Wei Wei,Quan Zhiyu,Kedem Rinat,Ahlgren Scott D,Fernandes Rui Loja,Rapti Zoi,Kutzarova Denka N,Kirr Eduard,Ivanov Sergei Vladimirovich,Bronski Jared C,Oikhberg Timur,Kerman Ely,Janda Felix,Ford Kevin B,Laugesen Richard Snyder,Mc Carthy Randy,Young Amanda,Tyson Jeremy T,Zaharescu Alexandru,Li Xiaochun,Jing Xiaochen,Hung Pei-Ken,Rasmussen Sarah Dean,De Ville R E Lee,Sowers Richard B,Albin Pierre,Fadina Tolulope,Baryshnikov Yuliy M,Heller Jeremiah Ben,Tzirakis Nikolaos,Wu Xuan,Leditzky Felix,Dey Partha Sarathi,Nikolaev Igor G,Yong Alexander T F,Song Renming,Tumanov Alexander,Erdoğan Mehmet Burak,Dodd Christopher,Boca Florin-Petre,Kirkpatrick Kay Lene,Lerman Eugene M,Hinkkanen Aimo,Pascaleff James Thomas,Di Francesco Philippe,Zharnitsky Vadim,Liu Yuan,Rezk Charles W,Dutta Sankar Prasad,Dunfield Nathan M,Bradlow Steven Benjamin,Haboush William J,Tolman Susan,Katz Sheldon H,Kostochka Alexandr V
Sowers Richard B,0,0,0,4,0,3,0,0,0,0,5,0,0,3,0,1,0,0,0,2,5,1,2,0,1,0,1,0,0,11,0,1,2,0,0,0,0,0,14,299,2,3,10,0,0,1,0,2,0,0,19,0,2,0,0,3,2,1,1,0,1,0,0,0,1,0,0,1,0,1
Albin Pierre,2,0,0,0,0,0,2,1,6,0,4,0,0,3,7,0,0,0,0,4,0,0,0,1,1,1,6,3,0,4,0,0,7,3,0,0,2,0,1,2,601,0,10,0,0,0,0,0,0,0,1,2,3,0,0,1,8,2,0,0,1,0,2,0,8,4,2,9,1,0
Fadina Tolulope,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baryshnikov Yuliy M,2,2,0,5,0,0,3,1,1,2,6,1,0,3,1,0,0,1,0,7,2,0,1,0,2,0,6,1,0,12,0,1,12,5,1,0,2,0,9,10,10,0,607,1,1,1,1,5,2,10,9,7,5,0,2,2,7,2,2,12,39,0,0,0,2,3,0,4,3,1
Heller Jeremiah Ben,3,2,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,12,0,0,3,0,0,0,0,0,0,0,0,1,369,0,0,0,0,0,1,0,0,0,3,0,0,3,0,2,0,0,1,20,2,1,1,0,1,3,0
Tzirakis Nikolaos,0,0,1,0,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,0,1,1,6,0,8,1,0,0,2,5,0,1,2,3,12,0,1,0,4,0,0,0,1,0,353,0,0,0,0,0,1,2,194,0,1,30,0,1,0,0,42,0,0,0,0,0,0,0,0,0
Wu Xuan,0,2,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,3,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,134,1,9,0,0,4,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,2,0
Leditzky Felix,0,5,0,0,0,1,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,369,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dey Partha Sarathi,0,1,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,3,0,0,0,1,0,0,0,0,0,4,2,0,0,5,0,0,9,1,310,0,2,10,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,2
Nikolaev Igor G,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,48,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Yong Alexander T F,4,3,0,14,0,0,2,0,3,1,3,2,1,0,0,1,0,4,1,1,0,0,0,1,4,0,0,5,1,0,1,0,1,1,0,0,1,0,3,0,0,0,10,1,0,0,1,2,0,758,0,1,0,7,0,0,4,0,5,10,1,0,1,3,2,3,5,10,4,4
Song Renming,0,4,0,2,2,18,0,0,2,0,20,0,1,7,0,1,0,0,0,0,2,1,5,0,4,5,1,1,3,25,0,3,17,4,1,0,1,0,9,19,1,0,9,0,1,4,2,10,0,0,1301,1,5,0,3,6,0,2,0,0,2,1,0,0,0,0,0,0,0,0
Tumanov Alexander,0,0,0,0,0,0,0,0,2,0,6,0,0,4,0,0,0,0,0,2,1,3,0,0,1,3,7,0,0,4,0,0,8,0,1,0,0,0,1,0,2,0,7,0,2,0,0,0,0,1,1,274,2,0,0,0,3,4,1,0,21,0,0,0,0,0,0,4,2,0
Erdoğan Mehmet Burak,0,1,3,2,0,0,0,0,0,0,9,0,1,22,0,0,0,0,1,0,8,3,33,0,26,4,0,0,11,8,0,1,9,6,24,0,0,0,5,2,3,0,5,0,194,0,0,0,0,0,5,2,613,0,2,7,1,1,0,0,58,0,0,0,0,0,0,0,0,1
Dodd Christopher,5,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,150,1,0,1,0,1,0,0,0,1,6,0,0,2,1,5,0
Boca Florin-Petre,0,2,7,1,0,0,0,1,0,0,12,0,3,1,0,0,0,0,7,0,1,0,1,0,1,3,0,0,20,4,0,1,3,197,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,3,0,2,1,408,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Kirkpatrick Kay Lene,0,0,1,2,0,0,0,0,1,0,11,1,0,6,0,0,0,0,1,0,2,1,5,0,2,3,0,0,0,4,0,1,0,1,1,0,0,0,4,3,1,0,2,0,30,1,0,6,0,0,6,0,7,0,0,298,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Lerman Eugene M,1,0,0,0,0,0,1,2,7,0,1,2,0,1,19,0,0,0,1,38,1,0,0,0,3,1,12,1,0,3,0,0,8,0,0,0,1,0,68,2,8,0,7,3,0,0,0,0,2,4,0,3,1,1,0,0,372,0,1,0,0,0,5,0,0,5,0,73,3,0
Hinkkanen Aimo,0,0,0,0,0,0,0,5,1,0,12,0,2,2,0,0,0,0,0,1,0,0,0,3,1,1,0,0,1,10,0,0,26,2,1,0,0,0,4,1,2,0,2,0,1,0,0,0,0,0,2,4,1,0,0,0,0,379,0,0,2,1,0,0,5,1,0,0,1,0
Pascaleff James Thomas,2,2,0,0,0,0,0,0,1,0,1,3,0,1,0,0,0,2,0,4,1,0,0,0,1,0,5,4,0,0,1,0,0,2,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,5,0,1,0,1,1,0,1,0,170,2,0,0,2,1,0,1,1,3,17,0
Di Francesco Philippe,2,0,0,0,0,0,0,0,1,0,3,0,2,0,1,0,0,196,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,1,0,1,0,10,0,0,0,0,0,0,0,0,2,686,0,0,0,0,1,0,0,2,2,0
Zharnitsky Vadim,0,0,0,0,0,0,26,0,0,0,1,0,1,12,0,0,0,0,0,2,1,0,6,0,10,0,0,0,1,2,0,1,4,2,5,0,0,0,8,1,1,0,39,0,42,0,0,0,0,1,2,21,58,0,1,3,0,2,0,0,298,0,0,0,1,0,0,0,0,0
Liu Yuan,0,4,3,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,5,1,0,0,0,3,0,0,0,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,149,2,0,4,0,0,0,0,0
Rezk Charles W,0,2,0,0,0,0,0,0,0,0,0,50,0,0,16,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,22,0,0,2,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,1,0,0,0,1,0,0,5,0,2,0,0,2,291,1,2,0,0,1,1,0
Dutta Sankar Prasad,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,6,0,0,0,0,1,0,0,0,1,140,0,0,2,0,4,0
Dunfield Nathan M,69,2,2,3,0,0,3,7,0,2,1,3,1,0,0,0,0,0,6,0,0,0,0,13,0,0,0,2,4,2,1,0,2,8,0,0,1,24,0,1,8,0,2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,5,0,1,1,4,2,0,682,2,0,1,4,3
Bradlow Steven Benjamin,3,1,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,3,1,0,1,0,0,0,3,0,0,0,0,0,0,5,1,1,0,0,0,0,0,2,294,1,5,9,0
Haboush William J,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,1,89,2,1,0
Tolman Susan,1,0,0,0,0,0,1,1,9,0,0,0,0,0,6,0,0,0,1,22,1,0,0,1,1,0,16,0,0,0,0,0,2,0,0,0,0,0,0,1,9,0,4,1,0,0,0,0,0,10,0,4,0,1,0,0,73,0,3,2,0,0,1,0,1,5,2,366,8,0
Katz Sheldon H,10,3,0,0,0,0,0,0,7,0,0,4,0,0,3,0,0,1,2,2,0,0,0,0,0,0,3,24,0,0,2,0,0,1,0,0,0,0,0,0,1,0,3,3,0,2,0,0,0,4,0,2,0,5,0,0,3,1,17,2,0,0,1,4,4,9,1,8,674,0
Kostochka Alexandr V,0,3,1,283,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1330
